id_chain;id_veh;label_list;short_label_list;n_trips;total_distance;start_time;total_time;stop_time;last_stop_time;id_pre;id_post;info
67375361;369484155;HWH;HWH;2;9000;2022-10-01 12:53:10+00;29661;27818;1070;63960193;70465628;"{""legs"": [[1000638, 1000947, 12], [1000947, 1000638, 20]], ""id_trips"": [67375361, 70325317], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
70465628;369484155;HOOOH;HOH;4;8500;2022-10-01 21:25:21+00;11528;10366;43294;67375361;26700828;"{""legs"": [[1000638, 1000625, 21], [1000646, 1000602, 0], [1000602, 1000638, 0]], ""id_trips"": [70465628, 24315670, 24318702, 24323391], ""id_zones"": [1000638, 1000625, 1000638], ""id_staypoints"": [64076016, 63961516, 63961516, 63961516, 64076016]}"
26700828;369484155;HOOOOH;HOH;5;38800;2022-10-02 12:39:03+00;46331;41561;40304;70465628;33641201;"{""legs"": [[1000638, 1000646, 12], [1000602, 1058125, 12], [1058125, 1000625, 19], [1000625, 1000602, 1], [1000602, 1000638, 1]], ""id_trips"": [26700828, 26706242, 29309873, 29824028, 29824339], ""id_zones"": [1000638, 1000625, 1058125, 1000625, 1000638], ""id_staypoints"": [64076016, 63961516, 26921693, 63961516, 63961516, 64076016]}"
33641201;369484155;HWH;HWH;2;8800;2022-10-03 12:42:58+00;30334;28888;56139;26700828;40726431;"{""legs"": [[1000638, 1000947, 12], [1000919, 1000638, 20]], ""id_trips"": [33641201, 37113274], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
40726431;369484155;HWH;HWH;2;10400;2022-10-04 12:44:11+00;30178;28427;55994;33641201;47177499;"{""legs"": [[1000638, 1000947, 12], [1001128, 1000627, 20]], ""id_trips"": [40726431, 43649364], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
47177499;369484155;HWH;HWH;2;9300;2022-10-05 12:40:23+00;30970;29350;112835;40726431;57214179;"{""legs"": [[1000638, 1000947, 12], [1000919, 1000638, 21]], ""id_trips"": [47177499, 50303779], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
57214179;369484155;HH;H;1;200;2022-10-07 04:37:08+00;36;0;51;47177499;57214905;"{""legs"": [], ""id_trips"": [57214179], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
57214905;369484155;HWH;HWH;2;8400;2022-10-07 04:38:35+00;30422;28787;527;57214179;60796849;"{""legs"": [[1000638, 1000947, 4], [1000919, 1000638, 12]], ""id_trips"": [57214905, 60453832], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
60796849;369484155;HOH;HOH;2;14500;2022-10-07 13:14:24+00;7316;4876;16770;57214905;63502055;"{""legs"": [[1000638, 1000732, 13], [1000732, 1000638, 14]], ""id_trips"": [60796849, 61325618], ""id_zones"": [1000638, 1000732, 1000638], ""id_staypoints"": [64076016, 60833444, 64076016]}"
63502055;369484155;HOOOOOH;HOH;6;36500;2022-10-07 19:55:50+00;24968;20612;93124;60796849;24488267;"{""legs"": [[1000638, 1000602, 19], [1000602, 1000705, 20], [1000617, 1001208, 21], [1001547, 1000625, 0], [1000625, 1000602, 2], [1000602, 1000638, 2]], ""id_trips"": [63502055, 63602767, 63726799, 63975196, 64049261, 64052486], ""id_zones"": [1000638, 1000625, 1000617, 1001208, 1000625, 1000638], ""id_staypoints"": [64076016, 63961516, 63960193, 63818350, 63961516, 63961516, 64076016]}"
