P1,,CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,SEZIONE CENSIMENTO,P1,,,,P2,%,P3,%,,P14,,P15,,P16,,P17,,P18,,P19,,P20,,P21,,P22,,P23,,P24,,P25,,P26,,P27,,P28,,P29,,P30,,P31,,P32,,P33,,P34,,P35,,P36,,P37,,P38,,P39,,P40,,P41,,P42,,P43,,P44,,P45,,P67,,P68,,P69,,P70,,P71,,P72,,P73,,P74,,P75,,P76,,P77,,P78,,P79,,P80,,P81,,P82,,,P83,P84,P85,P86,,P87,,P88,,P89,,P90,,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,,P101,,P102,,P103,,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,,ST1,,ST2,,ST2_B,,ST3,ST4,ST5,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32,ST33,,PF1,,PF3,,PF4,,PF5,,PF6,,PF7,,PF8,,A2
503,,48,Firenze,1,Bagno a Ripoli,48001,480010000001,503,"2,0%","0,051%",,236,"2,0%",267,"2,0%",,17,2%,21,2%,33,3%,29,2%,25,2%,22,2%,22,2%,27,2%,33,2%,39,2%,44,2%,39,2%,13,1%,15,1%,24,1%,100,2%,10,2%,8,2%,21,3%,16,3%,15,3%,13,2%,8,1%,12,2%,17,3%,19,2%,18,2%,19,2%,7,1%,6,1%,9,1%,38,2%,7,2%,13,3%,12,2%,13,2%,10,2%,9,2%,14,2%,15,2%,16,2%,20,2%,26,2%,20,2%,6,1%,9,1%,15,2%,62,2%,,470,221,249,15,,73,2%,107,2%,182,2%,93,2%,5,28,56,94,38,10,45,51,88,55,,217,2%,110,2%,107,2%,63,258,137,34,132,52,29,126,85,195,103,92,,45,2%,18,2%,27,2%,19,24,2,14,5,9,31,13,18,8,35,2,5,12,1,3,23,1,22,7,15,,234,"2,1%",98,"2,5%",53,"1,6%",38,"1,9%",40,"2,8%",5,"1,4%",0,"0,0%",226
293,,48,Firenze,1,Bagno a Ripoli,48001,480010000002,293,"1,2%","0,030%",,138,"1,1%",155,"1,2%",,5,1%,17,2%,6,1%,15,1%,13,1%,12,1%,10,1%,14,1%,16,1%,23,1%,23,1%,29,1%,15,1%,17,1%,25,1%,53,1%,3,1%,9,2%,1,0%,5,1%,7,1%,6,1%,4,1%,5,1%,9,1%,15,2%,8,1%,12,1%,8,1%,9,1%,10,1%,27,1%,2,1%,8,2%,5,1%,10,2%,6,1%,6,1%,6,1%,9,1%,7,1%,8,1%,15,1%,17,2%,7,1%,8,1%,15,2%,26,1%,,275,128,147,10,,39,1%,63,1%,109,1%,54,1%,4,14,27,54,29,6,25,36,55,25,,121,1%,63,1%,58,1%,22,150,93,9,71,45,13,79,48,105,56,49,,28,1%,13,2%,15,1%,8,13,7,5,3,2,23,10,13,6,20,2,4,8,1,2,12,1,16,7,9,,145,"1,3%",66,"1,7%",41,"1,2%",19,"0,9%",13,"0,9%",4,"1,1%",2,"1,8%",141
365,,48,Firenze,1,Bagno a Ripoli,48001,480010000003,365,"1,4%","0,037%",,170,"1,4%",195,"1,5%",,8,1%,6,1%,14,1%,12,1%,17,2%,14,1%,18,2%,15,1%,15,1%,23,1%,19,1%,33,2%,17,1%,38,2%,32,2%,84,2%,6,1%,5,1%,5,1%,3,0%,9,2%,4,1%,10,2%,9,2%,6,1%,12,1%,7,1%,16,2%,9,1%,14,2%,16,2%,39,2%,2,1%,1,0%,9,2%,9,1%,8,1%,10,2%,8,1%,6,1%,9,1%,11,1%,12,1%,17,2%,8,1%,24,3%,16,2%,45,2%,,353,161,192,14,,110,3%,106,2%,101,1%,22,0%,6,49,55,43,8,8,61,51,58,14,,107,1%,56,1%,51,1%,20,152,142,12,78,63,8,74,79,91,50,41,,51,3%,17,2%,34,3%,13,22,16,18,5,13,33,12,21,8,31,12,4,7,6,4,24,6,16,6,10,,167,"1,5%",60,"1,5%",55,"1,6%",29,"1,4%",14,"1,0%",4,"1,1%",5,"4,4%",166
360,,48,Firenze,1,Bagno a Ripoli,48001,480010000004,360,"1,4%","0,036%",,169,"1,4%",191,"1,4%",,15,2%,9,1%,14,1%,20,2%,12,1%,12,1%,11,1%,21,2%,26,2%,25,1%,22,1%,31,2%,26,2%,32,2%,18,1%,66,2%,9,2%,3,1%,8,1%,11,2%,5,1%,6,1%,5,1%,10,2%,15,2%,8,1%,12,1%,11,1%,16,2%,17,2%,10,1%,23,1%,6,2%,6,1%,6,1%,9,1%,7,1%,6,1%,6,1%,11,2%,11,2%,17,2%,10,1%,20,2%,10,1%,15,2%,8,1%,43,2%,,336,157,179,12,,50,1%,88,1%,126,1%,60,1%,4,16,47,67,23,8,34,41,59,37,,137,1%,70,1%,67,1%,28,172,111,15,88,48,13,84,63,118,61,57,,49,2%,18,2%,31,3%,14,21,14,6,0,6,43,18,25,10,34,5,5,11,2,5,23,3,19,9,10,,162,"1,4%",51,"1,3%",55,"1,6%",32,"1,6%",17,"1,2%",7,"1,9%",0,"0,0%",161
239,,48,Firenze,1,Bagno a Ripoli,48001,480010000005,239,"0,9%","0,024%",,115,"1,0%",124,"0,9%",,6,1%,5,1%,16,1%,9,1%,15,1%,7,1%,7,1%,10,1%,18,1%,19,1%,24,1%,13,1%,10,1%,12,1%,19,1%,49,1%,3,1%,3,1%,8,1%,6,1%,8,1%,5,1%,1,0%,6,1%,4,1%,10,1%,12,1%,8,1%,5,1%,6,1%,7,1%,23,1%,3,1%,2,0%,8,1%,3,0%,7,1%,2,0%,6,1%,4,1%,14,2%,9,1%,12,1%,5,0%,5,1%,6,1%,12,1%,26,1%,,228,109,119,8,,44,1%,50,1%,84,1%,42,1%,4,15,29,44,17,4,29,21,40,25,,98,1%,46,1%,52,1%,23,123,78,12,62,36,11,61,42,91,43,48,,15,1%,5,1%,10,1%,5,8,2,3,1,2,12,4,8,4,9,2,2,3,0,2,6,2,7,3,4,,122,"1,1%",60,"1,5%",29,"0,9%",15,"0,7%",14,"1,0%",4,"1,1%",0,"0,0%",120
51,,48,Firenze,1,Bagno a Ripoli,48001,480010000006,51,"0,2%","0,005%",,25,"0,2%",26,"0,2%",,0,0%,0,0%,1,0%,3,0%,6,1%,6,1%,4,0%,4,0%,1,0%,1,0%,1,0%,11,1%,4,0%,2,0%,1,0%,6,0%,0,0%,0,0%,0,0%,0,0%,2,0%,4,1%,2,0%,2,0%,1,0%,0,0%,0,0%,7,1%,3,0%,1,0%,1,0%,2,0%,0,0%,0,0%,1,0%,3,0%,4,1%,2,0%,2,0%,2,0%,0,0%,1,0%,1,0%,4,0%,1,0%,1,0%,0,0%,4,0%,,51,25,26,0,,6,0%,10,0%,20,0%,15,0%,0,1,6,9,9,0,5,4,11,6,,26,0%,15,0%,11,0%,1,41,9,0,21,4,1,20,5,26,15,11,,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,"0,2%",7,"0,2%",7,"0,2%",1,"0,0%",3,"0,2%",3,"0,8%",0,"0,0%",20
775,,48,Firenze,1,Bagno a Ripoli,48001,480010000007,775,"3,1%","0,079%",,361,"3,0%",414,"3,1%",,18,2%,25,3%,29,2%,25,2%,23,2%,29,3%,29,3%,29,2%,38,3%,45,2%,48,2%,37,2%,54,3%,54,4%,98,6%,194,4%,10,2%,11,2%,14,2%,11,2%,12,2%,14,3%,14,3%,13,2%,22,3%,24,3%,20,2%,18,2%,31,4%,21,3%,37,5%,89,5%,8,2%,14,3%,15,3%,14,2%,11,2%,15,3%,15,3%,16,3%,16,2%,21,2%,28,3%,19,2%,23,3%,33,4%,61,6%,105,4%,,735,342,393,21,,130,3%,158,3%,265,3%,161,4%,7,50,91,120,74,14,80,67,145,87,,245,2%,137,3%,108,2%,64,317,345,31,164,146,33,153,199,222,126,96,,49,2%,20,2%,29,2%,17,24,8,19,8,11,30,12,18,8,40,1,4,15,1,4,25,0,23,11,12,,379,"3,4%",125,"3,2%",156,"4,6%",61,"3,0%",30,"2,1%",7,"1,9%",0,"0,0%",371
432,,48,Firenze,1,Bagno a Ripoli,48001,480010000008,432,"1,7%","0,044%",,200,"1,7%",232,"1,7%",,10,1%,13,1%,16,1%,18,1%,26,2%,30,3%,28,2%,21,2%,12,1%,28,1%,36,2%,34,2%,27,2%,31,2%,30,2%,72,2%,6,1%,8,2%,9,1%,9,1%,11,2%,12,2%,14,3%,9,2%,6,1%,16,2%,14,1%,16,2%,11,1%,12,2%,12,1%,35,2%,4,1%,5,1%,7,1%,9,1%,15,3%,18,3%,14,2%,12,2%,6,1%,12,1%,22,2%,18,2%,16,2%,19,2%,18,2%,37,1%,,414,187,227,13,,33,1%,89,1%,146,2%,133,3%,5,12,46,67,57,8,21,43,79,76,,161,2%,83,2%,78,2%,33,221,130,19,108,58,14,113,72,140,75,65,,48,2%,15,2%,33,3%,14,25,9,11,2,9,37,13,24,6,39,3,4,10,1,2,29,2,21,8,13,,197,"1,7%",69,"1,7%",63,"1,9%",34,"1,7%",24,"1,7%",3,"0,8%",4,"3,5%",188
289,,48,Firenze,1,Bagno a Ripoli,48001,480010000009,289,"1,1%","0,029%",,141,"1,2%",148,"1,1%",,14,2%,5,1%,17,1%,15,1%,14,1%,13,1%,14,1%,12,1%,14,1%,19,1%,22,1%,28,1%,19,1%,14,1%,21,1%,48,1%,6,1%,2,0%,10,2%,9,1%,6,1%,7,1%,7,1%,6,1%,7,1%,8,1%,9,1%,14,1%,9,1%,7,1%,13,2%,21,1%,8,2%,3,1%,7,1%,6,1%,8,1%,6,1%,7,1%,6,1%,7,1%,11,1%,13,1%,14,1%,10,1%,7,1%,8,1%,27,1%,,270,133,137,4,,26,1%,53,1%,104,1%,83,2%,3,11,30,50,39,1,15,23,54,44,,103,1%,53,1%,50,1%,36,162,82,18,80,40,18,82,42,99,51,48,,9,0%,3,0%,6,1%,1,5,3,2,0,2,7,3,4,0,8,1,0,2,1,0,6,0,4,2,2,,125,"1,1%",37,"0,9%",39,"1,1%",25,"1,2%",22,"1,5%",2,"0,5%",0,"0,0%",119
78,,48,Firenze,1,Bagno a Ripoli,48001,480010000010,78,"0,3%","0,008%",,41,"0,3%",37,"0,3%",,3,0%,2,0%,6,1%,6,0%,3,0%,2,0%,2,0%,7,1%,5,0%,3,0%,5,0%,9,0%,7,0%,3,0%,6,0%,9,0%,1,0%,1,0%,3,0%,4,1%,2,0%,1,0%,2,0%,3,1%,3,0%,1,0%,2,0%,4,0%,4,1%,2,0%,4,0%,4,0%,2,1%,1,0%,3,1%,2,0%,1,0%,1,0%,0,0%,4,1%,2,0%,2,0%,3,0%,5,0%,3,0%,1,0%,2,0%,5,0%,,73,39,34,4,,7,0%,14,0%,28,0%,20,0%,2,4,7,16,10,2,3,7,12,10,,32,0%,17,0%,15,0%,11,49,17,5,26,9,6,23,8,32,17,15,,1,0%,1,0%,0,0%,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,,32,"0,3%",9,"0,2%",10,"0,3%",6,"0,3%",5,"0,3%",1,"0,3%",1,"0,9%",31
